module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00129	cora_Basidiomycota	cora_Basidiomycota	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00963,K00963	8985,8984	K00963 is present in multiple modules: M00129/M00854/M00549
M00114	cora_Basidiomycota	cora_Basidiomycota	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	1.0	K01809	1	K01809	9960	None
M00854	cora_Basidiomycota	cora_Basidiomycota	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	0.0	False	0.5	False	1.0	K00750	1	K00750,K00963,K00963	6268,8985,8984	K00963 is present in multiple modules: M00129/M00854/M00549
M00855	cora_Basidiomycota	cora_Basidiomycota	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)"	0.3333333333333333	False	0.3333333333333333	False	1.0	K00688	1	K00688	161	None
M00549	cora_Basidiomycota	cora_Basidiomycota	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K00845,K25026,K12407,K00886) (K01835,K15779,K15778) (K00963,K12447)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00963,K00963	8985,8984	K00963 is present in multiple modules: M00129/M00854/M00549
M00554	cora_Basidiomycota	cora_Basidiomycota	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00849 K00965"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00965	23582	K00965 is present in multiple modules: M00632/M00554
M00892	cora_Basidiomycota	cora_Basidiomycota	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00844,K12407,K00845) K01810 K00820 K00621 K01836 K00972"	0.6666666666666666	False	0.6666666666666666	False	1.0	K00621,K00972	1,1	K00621,K00820,K00820,K00972,K01810	32463,739,742,6343,8739	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909
M00909	cora_Basidiomycota	cora_Basidiomycota	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00845,K25026) (K01810,K13810,K15916) K00820 K03431 K04042"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00820,K00820,K01810	739,742,8739	K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00820 is present in multiple modules: M00892/M00909
M00012	cora_Basidiomycota	cora_Basidiomycota	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01647 (K01681,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)"	0.4	False	0.4	False	1.0	K01637,K01638	1,1	K01637,K01638	29173,12974	None
M00740	cora_Basidiomycota	cora_Basidiomycota	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01647 K01681 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024"	0.09090909090909091	False	0.09090909090909091	False	NA	No enzymes unique to module	NA	K00031	26346	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00532	cora_Basidiomycota	cora_Basidiomycota	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 K14272 K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.2	False	0.2	False	1.0	K03781	1	K00600,K00600,K03781	21460,21459,27855	K00600 is present in multiple modules: M00532/M00346/M00140/M00141
M00013	cora_Basidiomycota	cora_Basidiomycota	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00248,K00232) (K07511,K14729) K05605 K23146 K00140"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00232	27578	K00232 is present in multiple modules: M00013/M00087/M00861/M00113
M00130	cora_Basidiomycota	cora_Basidiomycota	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00888,K19801,K13711) (K00889,K13712) (K01116,K05857,K05858,K05859,K05860,K05861) K00911"	0.25	False	0.25	False	1.0	K13711	1	K13711	24109	None
M00165	cora_Basidiomycota	cora_Basidiomycota	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134) (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.36363636363636365	False	0.36363636363636365	False	NA	No enzymes unique to module	NA	K00927,K01624,K03841,K03841	2995,20394,4946,4947	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612
M00166	cora_Basidiomycota	cora_Basidiomycota	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P	Pathway modules	Energy metabolism	Carbon fixation	"K00855 (K01601-K01602) K00927 (K05298,K00150,K00134)"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K00927	2995	K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612
M00167	cora_Basidiomycota	cora_Basidiomycota	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules	Energy metabolism	Carbon fixation	"(K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01623,K01624) (K01100,K11532,K01086) K00615 (K01807,K01808)"	0.42857142857142855	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K01624,K03841,K03841	20394,4946,4947	K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612
M00170	cora_Basidiomycota	cora_Basidiomycota	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules	Energy metabolism	Carbon fixation	"K01595 K14454 K14455 K01610"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01610	28270	K01610 is present in multiple modules: M00003/M00170
M00173	cora_Basidiomycota	cora_Basidiomycota	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,K15232+K15233 K15234)"	0.1	False	0.1	False	NA	No enzymes unique to module	NA	K00031	26346	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614
M00377	cora_Basidiomycota	cora_Basidiomycota	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	"K00198 (K05299-K15022,K22015+K25123+K25124) K01938 K01491-K01500 K00297-K25007-K25008 K15023 K14138+K00197+K00194"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00297	16915	K00297 is present in multiple modules: M00377/M00618
M00346	cora_Basidiomycota	cora_Basidiomycota	Formaldehyde assimilation, serine pathway	Pathway modules	Energy metabolism	Methane metabolism	"K00600 K00830 K00018 K11529 K01689 K01595 K00024 K08692+K14067 K08691"	0.2222222222222222	False	0.2222222222222222	False	NA	No enzymes unique to module	NA	K00600,K00600,K01689	21460,21459,26887	K00600 is present in multiple modules: M00532/M00346/M00140/M00141,K01689 is present in multiple modules: M00001/M00002/M00003/M00346
M00345	cora_Basidiomycota	cora_Basidiomycota	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"(((K08093,K13812) K08094),K13831) (K00850,K16370,K21071) K01624"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K01624	20394	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612
M00344	cora_Basidiomycota	cora_Basidiomycota	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules	Energy metabolism	Methane metabolism	"K17100 K00863 K01624 K03841"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K01624,K03841,K03841	20394,4946,4947	K03841 is present in multiple modules: M00003/M00165/M00167/M00344/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612
M00146	cora_Basidiomycota	cora_Basidiomycota	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	Pathway modules	Energy metabolism	ATP synthesis	"K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+K03956+K11352+K11353"	0.0	False	0.07142857142857142	False	1.0	K03949	1	K03949	2340	None
M00151	cora_Basidiomycota	cora_Basidiomycota	Cytochrome bc1 complex respiratory unit	Pathway modules	Energy metabolism	ATP synthesis	"((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00411,K00412,K00413	4240,33699,10411	K00412 is present in multiple modules: M00151/M00152,K00411 is present in multiple modules: M00151/M00152,K00413 is present in multiple modules: M00151/M00152
M00152	cora_Basidiomycota	cora_Basidiomycota	Cytochrome bc1 complex	Pathway modules	Energy metabolism	ATP synthesis	"K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420"	0.0	False	0.3	False	NA	No enzymes unique to module	NA	K00411,K00412,K00413	4240,33699,10411	K00412 is present in multiple modules: M00151/M00152,K00411 is present in multiple modules: M00151/M00152,K00413 is present in multiple modules: M00151/M00152
M00154	cora_Basidiomycota	cora_Basidiomycota	Cytochrome c oxidase	Pathway modules	Energy metabolism	ATP synthesis	"(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+K02270-K02271+K02272-K02273+K02258+K02259+K02260)"	0.0	False	0.4666666666666667	False	1.0	K02257,K02258,K02259,K02261,K02263,K02264,K02265	1,1,1,1,1,1,1	K02257,K02258,K02259,K02261,K02263,K02264,K02265	23619,28841,31478,33695,23309,6419,12676	None
M00157	cora_Basidiomycota	cora_Basidiomycota	F-type ATPase, prokaryotes and chloroplasts	Pathway modules	Energy metabolism	ATP synthesis	"K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110"	0.0	False	0.125	False	1.0	K02113	1	K02113	19602	None
M00158	cora_Basidiomycota	cora_Basidiomycota	F-type ATPase, eukaryotes	Pathway modules	Energy metabolism	ATP synthesis	"K02132+K02133+K02136+K02134+K02135+K02137+K02126+K02127+K02128+K02138+(K02129,K01549)+(K02130,K02139)+K02140+(K02141,K02131)-K02142-K02143+K02125"	0.0	False	0.13333333333333333	False	1.0	K02128,K02138	1,1	K02128,K02138	33710,31476	None
M00160	cora_Basidiomycota	cora_Basidiomycota	V-type ATPase, eukaryotes	Pathway modules	Energy metabolism	ATP synthesis	"K02145+K02147+K02148+K02149+K02150+K02151+K02152+K02144+K02154+(K03661,K02155)+K02146+K02153+K03662"	0.0	False	0.23076923076923078	False	1.0	K02146,K02154,K03661	2,1,4	K02146,K02146,K02154,K03661,K03661,K03661,K03661	29159,29160,29707,8492,8598,8618,11886	None
M00087	cora_Basidiomycota	cora_Basidiomycota	beta-Oxidation	Pathway modules	Lipid metabolism	Fatty acid metabolism	"(K00232,K00249,K00255,K06445,K09479) (((K01692,K07511,K13767) (K00022,K07516)),K01825,K01782,K07514,K07515,K10527) (K00632,K07508,K07509,K07513)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00232	27578	K00232 is present in multiple modules: M00013/M00087/M00861/M00113
M00861	cora_Basidiomycota	cora_Basidiomycota	beta-Oxidation, peroxisome, VLCFA	Pathway modules	Lipid metabolism	Fatty acid metabolism	"K00232 K12405 (K07513,K08764)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00232	27578	K00232 is present in multiple modules: M00013/M00087/M00861/M00113
M00088	cora_Basidiomycota	cora_Basidiomycota	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Pathway modules	Lipid metabolism	Lipid metabolism	"K00626 K01641 K01640 K00019 K01574"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K01640,K01641,K01641	9833,7988,7989	K01641 is present in multiple modules: M00088/M00095/M00849,K01640 is present in multiple modules: M00088/M00036
M00089	cora_Basidiomycota	cora_Basidiomycota	Triacylglycerol biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"(K00629,K13506,K13507,K00630,K13508) (K00655,K13509,K13523,K19007,K13513,K13517,K13519,K14674,K22831) (K01080,K15728,K18693) (K11155,K11160,K14456,K22848,K22849)"	0.5	False	0.5	False	1.0	K13507,K15728	2,2	K13507,K13507,K15728,K15728	3808,3807,18345,18346	None
M00093	cora_Basidiomycota	cora_Basidiomycota	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules	Lipid metabolism	Lipid metabolism	"K00981 (K00998,K17103) K01613"	0.3333333333333333	False	0.3333333333333333	False	1.0	K01613	7	K01613,K01613,K01613,K01613,K01613,K01613,K01613	16847,16848,12980,11484,5314,28901,28900	None
M00094	cora_Basidiomycota	cora_Basidiomycota	Ceramide biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727) K04712"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00654,K04712,K04712	9889,21451,21452	K00654 is present in multiple modules: M00094/M00099,K04712 is present in multiple modules: M00094/M00099
M00066	cora_Basidiomycota	cora_Basidiomycota	Lactosylceramide biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00720 (K07553,K09905)"	0.5	False	0.5	False	1.0	K00720	1	K00720	27268	None
M00099	cora_Basidiomycota	cora_Basidiomycota	Sphingosine biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727) K04712 (K01441,K12348,K12349)"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00654,K04712,K04712	9889,21451,21452	K00654 is present in multiple modules: M00094/M00099,K04712 is present in multiple modules: M00094/M00099
M00113	cora_Basidiomycota	cora_Basidiomycota	Jasmonic acid biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00454 K01723 K10525 K05894 K10526 K00232 K10527 K07513 --"	0.1111111111111111	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00232	27578	'--' steps are assumed incomplete,K00232 is present in multiple modules: M00013/M00087/M00861/M00113
M00048	cora_Basidiomycota	cora_Basidiomycota	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))"	0.125	False	0.2	False	1.0	K01589,K01945	1,1	K01589,K01945	20322,13153	None
M00049	cora_Basidiomycota	cora_Basidiomycota	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K01939 K01756 (K00939,K18532,K18533,K00944) K00940"	0.5	False	0.5	False	1.0	K01939,K18532	1,2	K01939,K18532,K18532	24699,13317,13318	None
M00050	cora_Basidiomycota	cora_Basidiomycota	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00088 K01951 K00942 (K00940,K18533)"	0.25	False	0.25	False	1.0	K01951	1	K01951	32385	None
M00053	cora_Basidiomycota	cora_Basidiomycota	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules	Nucleotide metabolism	Purine metabolism	"(K00525+K00526,K10807+K10808) (K00940,K18533)"	0.0	False	0.25	False	NA	No enzymes unique to module	NA	K00526	18644	K00526 is present in multiple modules: M00053/M00938
M00958	cora_Basidiomycota	cora_Basidiomycota	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules	Nucleotide metabolism	Purine metabolism	"((K01490 (K01081,K19970,K03787,K18550)),((K01081,K19970,K11751,K03787,K02566,K08693) (K01488,K19572,K05810))) (K03783,K03784,K09913,K05810) (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)"	0.0	False	0.25	False	1.0	K01490	1	K01490	15290	None
M00959	cora_Basidiomycota	cora_Basidiomycota	Guanine ribonucleotide degradation, GMP => Urate	Pathway modules	Nucleotide metabolism	Purine metabolism	"(K01081,K19970,K11751,K03787,K02566,K08693,K20881) (K03783,K03784,K09913,K05810) K01487 (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)"	0.25	False	0.25	False	1.0	K01487	1	K01487	3704	None
M00051	cora_Basidiomycota	cora_Basidiomycota	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)"	0.0	False	0.1	False	1.0	K00609	1	K00609	24948	None
M00938	cora_Basidiomycota	cora_Basidiomycota	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943"	0.4	False	0.5	False	1.0	K00560,K01520	2,1	K00526,K00560,K00560,K01520	18644,29104,29103,18425	K00526 is present in multiple modules: M00053/M00938
M00020	cora_Basidiomycota	cora_Basidiomycota	Serine biosynthesis, glycerate-3P => serine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00058 K00831 (K01079,K02203,K22305,K25528)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00831	4813	K00831 is present in multiple modules: M00020/M00124
M00018	cora_Basidiomycota	cora_Basidiomycota	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733"	0.2	False	0.2	False	1.0	K00872	1	K00872	33027	None
M00609	cora_Basidiomycota	cora_Basidiomycota	Cysteine biosynthesis, methionine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K17462 K01243 K07173 K17216 K17217"	0.16666666666666666	False	0.16666666666666666	False	NA	No enzymes unique to module	NA	K00789,K00789,K00789	14774,14773,14775	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
M00017	cora_Basidiomycota	cora_Basidiomycota	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)"	0.2857142857142857	False	0.2857142857142857	False	1.0	K00549,K00641	4,4	K00549,K00549,K00549,K00549,K00641,K00641,K00641,K00641	31040,31043,31042,31041,17133,17135,17136,25447	None
M00034	cora_Basidiomycota	cora_Basidiomycota	Methionine salvage pathway	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)"	0.375	False	0.4444444444444444	False	1.0	K08964,K08967	1,1	K00789,K00789,K00789,K01611,K08964,K08967	14774,14773,14775,22083,15226,19903	K01611 is present in multiple modules: M00034/M00133,K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
M00035	cora_Basidiomycota	cora_Basidiomycota	Methionine degradation	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150)"	0.5	False	0.5	False	1.0	K01251	1	K00789,K00789,K00789,K01251	14774,14773,14775,16140	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
M00368	cora_Basidiomycota	cora_Basidiomycota	Ethylene biosynthesis, methionine => ethylene	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 (K01762,K20772) K05933"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00789,K00789,K00789	14774,14773,14775	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953
